model      ;temperature;prompt                                   ;tokens;response                                                                                                                                                                                                                                                                 
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                                                       
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.0        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.2        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales                                                                                                                                             
gpt-4o-mini;0.2        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.2        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.2        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.2        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                             
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales                                                                                                                                                       
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality uncertainty and entanglement.                                                                 
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                             
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.4        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;20    ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales                                                                                                                                             
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;50    ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the atomic and subatomic levels where particles exhibit wave-particle duality and are subject to probabilistic outcomes rather than deterministic laws.                   
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;100   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic rather than deterministic laws.                                       
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;200   ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and probabilistic properties rather than deterministic ones.                                            
gpt-4o-mini;0.6        ;Explain quantum mechanics in one sentence;400   ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilistic outcomes rather than deterministic laws.                    
